Brand,Brand Rating,Model,Type,Price ($),CPU Brand,CPU Type,CPU Rating /10,RAM (GB),Ram Type,Hard Drive (GB),SSD (GB),Graphics Brand,Graphics Type,Graphics Rating /10,Ports,Connectivity Rating,Battery Hours,Software,Display Size (inches),Resolution Width (pixels),Resolution Height (pixels),Touchscreen,Depth (inches),Width (inches),Height (inches),Weight (lbs),Warranty,Hyperlink,
Lenovo,8,Ideapad 3,Student,499.99,AMD,Athlon 3150U,9,8,DDR4,1000,0,AMD,Radeon,8,2 x USB 3.0 1 x USB 2.0 HDMI Dual Microphone SD Card Reader,7,6,Windows 10 Home,15.6,1920,1080,false,0.78,14.26,9.78,4.8,1 Year,https://www.staples.ca/products/2974874-en-lenovo-ideapad-3-81w1001hcf-156-inch-notebook-26-ghz-amd-athlon-3150u-1-tb-hdd-8-gb-ddr4-windows-10-home#product_description,
Asus,9,VivoBook L203NA,Student/Work,249.99,Intel,Celeron N3350,8,4,LPDDR3,0,64,Intel,Intel HD,6,2x USB 3.0; 1x USB 3.2 Gen 1 Type-C Micro SD HDMI 3.5mm Combo Audio Jack,6,7,Windows 10 Home,11.6,1366,768,false,0.69,11.3,7.6,2.01,1 Year,https://www.bestbuy.ca/en-ca/product/asus-vivobook-l203na-11-6-laptop-intel-dual-core-celeron-n3350-64gb-emmc-4gb-ram-windows-10-s/14772556?icmp=Recos_3across_tp_sllng_prdcts&referrer=PLP_Reco,
Acer,8,Aspire 3,Student/work,499.99,AMD,Athlon 3050u,6,8,DDR4,1000,0,AMD,Radeon,8,2 x USB 3.1; USB 2.0;HDMI Port;3.5 mm headphone/speaker jack;Ethernet (RJ-45) port,7,7,Windows 10 Home,15.6,1366,768,false,0.78,14.31,9.86,4.19,1 Year,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-amd-athlon-3050u-1tb-hdd-8gb-ram-windows-10/14655791,
HP,5,HP 14,Student/Work,349.99,AMD,Athlon 3020e,5,4,DDR4,0,64,AMD,Radeon,8,SuperSpeed USB Type-C 5Gbps;2 SuperSpeed USB Type-A 5Gbps;Headphone/microphone combo;AC Smart pin;HDMI 1.4b,8,6,Windows 10 Home,14,1366,768,false,0.71,12.76,8.86,3.22,1 Year,https://www.bestbuy.ca/en-ca/product/hp-14-laptop-natural-silver-amd-3020e-64gb-emmc-4gb-ram-windows-10-s/14771998,
Acer,8,Chromebook Spin 311,Student,328.90,Intel,Celeron n4020,5,4,LPDDR4,0,32,Intel,Intel UHD Graphics 600,9,2 - USB Type-C ports USB 3.1 DisplayPort over USB Type-C USB Charging & DC-in 2 - USB 3.1 Gen 1 ports,7,10,Chrome OS,11.6,1366,768,true,0.78,11.65,8.11,2.62,30 days,https://www.amazon.ca/gp/product/B086MBQKH2/ref=ask_ql_qh_dp_hza?th=1,
Asus,9,L410MA-SH01-CB 14-inch Notebook,Student/work,349.99,Intel,Celeron n4020,5,4,DDR4,0,64,Intel,Intel UHD Graphics 600,9, 1 x USB 2.0 1 x USB-C HDMI Headphone/Microphone-combo; 1 x USB 3.2 Gen 1 Type-A,6,9,Windows 10 S,14,1366,768,false,0.7,8.5,12.8,2.9,1 Year,https://www.staples.ca/products/2992401-en-asus-l410ma-sh01-cb-14-inch-notebook-11-ghz-intel-celeron-n4020-64-gb-emmc-4-gb-ddr4-windows-10-s,
Lenovo,8,IdeaPad Duet,Student/Work,399.99,MediaTek,P60T,4,4,LPDDR4X,0,128,ARM,ARM G72MP3,4,1 x USB 2.0 Headphone/Mic-Combo / HDMI,5,8,Chrome OS,10.1,1920,1200,true,0.29,9.44,6.29,0.99,1 Year,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-duet-10-1-touchscreen-2-in-1-chromebook-mediatek-helio-p60t-128gb-ssd-4gb-ram/14541985,
Kano,7,Kano PC 11.6,Kids/Student,399.99,Intel,Celeron n4000,4,4,DDR3L,0,32,Intel,UHD Graphics 600,9,1 x 3.5mm Headphone Jack; Built-In Microphone HDMI Port USB-C; 2 x USB 3.0 Micro SD Card Reader,8,10,Windows 10 home,11.6,1366,768,true,8.6,15.1,3.7,5.36,1 Year,https://www.bestbuy.ca/en-ca/product/kano-pc-11-6-touchscreen-2-in-1-laptop-black-intel-celeron-n4000-64gb-emmc-4gb-ram-windows-10-en/14963802,
HP,5,HP 15.6,Student/Work,499.99,AMD,A6-9225,4,8,DDR4,1000,0,AMD,Radeon R4 ,3,2 USB 3.1 Gen 1; 1 USB 2.0; 1 HDMI 1.4b; 1 RJ-45; 1 Headphone/Microphone Combo,8,8,Windows 10 home,15.6,1366,768,false,0.89,14.8,9.69,4.19,1 Year,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-black-amd-a6-9225-processor-1tb-hdd-8gb-ram-windows-10-english-open-box/13986337,
Acer,8,Acer 11.6 Chromebook,Student/Work,349.99,Intel,Celeron n4000,4,4,LPDDR4,0,32,Intel,UHD Graphics 600,9,2x USB Type-C ports  2x USB 3.1 ports 3.5 mm headphone/speaker jack,7,10,Chrome OS,11.6,1366,768,false,0.71,11.65,7.83,2.34,1 Year,https://www.bestbuy.ca/en-ca/product/acer-11-6-chromebook-silver-intel-celeron-n4000-64gb-emmc-4gb-ram-chrome-os/14480619,
